Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,121.94,-12,-8.95%,257
April 2020,133.93,16.98,+14.52%,299
March 2020,116.95,15.12,+14.85%,280
February 2020,101.83,-5.5,-5.12%,235
January 2020,107.33,-3.73,-3.35%,243
December 2019,111.05,-6.26,-5.34%,258
November 2019,117.31,-0.09,-0.08%,303
October 2019,117.4,-2.53,-2.11%,278
September 2019,119.93,-5.93,-4.71%,313
August 2019,125.86,1.12,+0.90%,262
July 2019,124.75,-4.29,-3.32%,278
June 2019,129.03,0.32,+0.25%,282
May 2019,128.72,-4.77,-3.57%,289
April 2019,133.48,-10.2,-7.10%,315
March 2019,143.68,-9.65,-6.30%,323
February 2019,153.33,-20.92,-12.01%,362
January 2019,174.26,-0.45,-0.26%,409
December 2018,174.71,13.4,+8.31%,395
November 2018,161.31,-3.51,-2.13%,363
October 2018,164.82,-1.29,-0.78%,363
September 2018,166.11,3.41,+2.10%,387
August 2018,162.7,3.86,+2.43%,322
July 2018,158.84,-1.61,-1.00%,340
June 2018,160.45,-13.87,-7.96%,351
May 2018,174.31,-16.37,-8.58%,380
April 2018,190.68,-35.95,-15.86%,436
March 2018,226.63,0.13,+0.06%,506
February 2018,226.5,-8.07,-3.44%,494
January 2018,234.57,-0.64,-0.27%,539
December 2017,235.21,5.25,+2.28%,479
November 2017,229.96,-29.51,-11.37%,531
October 2017,259.48,15.02,+6.14%,599
September 2017,244.46,4.5,+1.88%,593
August 2017,239.95,1.04,+0.44%,488
July 2017,238.91,-9.83,-3.95%,508
June 2017,248.75,-19.28,-7.19%,516
May 2017,268.03,-23.95,-8.20%,598
April 2017,291.98,-13.78,-4.51%,623
March 2017,305.77,-26.7,-8.03%,709
February 2017,332.46,-14.49,-4.18%,732
January 2017,346.96,6.38,+1.87%,737
December 2016,340.58,-19.97,-5.54%,751
November 2016,360.55,-6.33,-1.73%,855
October 2016,366.88,15.91,+4.53%,812
September 2016,350.97,9.57,+2.80%,760
August 2016,341.4,-8.85,-2.53%,696
July 2016,350.25,-4.47,-1.26%,758
June 2016,354.72,-39.72,-10.07%,723
May 2016,394.44,-16.11,-3.92%,892
April 2016,410.55,-35.94,-8.05%,935
March 2016,446.49,-26.42,-5.59%,1025
February 2016,472.91,-47.34,-9.10%,1067
January 2016,520.25,-18.52,-3.44%,1164
December 2015,538.78,-22.27,-3.97%,1128
November 2015,561.04,-27.89,-4.74%,1327
October 2015,588.93,-0.93,-0.16%,1350
September 2015,589.86,-5.94,-1.00%,1288
August 2015,595.8,15.73,+2.71%,1197
July 2015,580.07,-8.15,-1.39%,1145
June 2015,588.22,-62.25,-9.57%,1220
May 2015,650.48,-28.53,-4.20%,1509
April 2015,679.01,-75.63,-10.02%,1544
March 2015,754.65,-95.99,-11.28%,1806
February 2015,850.63,-112.73,-11.70%,1892
January 2015,963.36,-125.38,-11.52%,2152
December 2014,1088.74,-118.99,-9.85%,2293
November 2014,1207.72,-677.78,-35.95%,4223
October 2014,1885.5,-279.86,-12.92%,4115
September 2014,2165.36,-486.12,-18.33%,5353
August 2014,2651.49,308.85,+13.18%,9087
July 2014,2342.63,-191.43,-7.55%,5080
June 2014,2534.06,-945.58,-27.17%,6057
May 2014,3479.64,-51.97,-1.47%,12745
April 2014,3531.61,-952.51,-21.24%,8367
March 2014,4484.12,-1400.81,-23.80%,11044
February 2014,5884.93,-481.87,-7.57%,20579
January 2014,6366.8,-1607.88,-20.16%,14721
December 2013,7974.68,-4587.97,-36.52%,18555
November 2013,12562.64,-,-,36922
