Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,15522.74,+1696.1,+12.27%,24748
April 2020,13826.66,5001.19,+56.67%,28185
March 2020,8825.47,-893.78,-9.20%,13507
February 2020,9719.25,241.01,+2.54%,15517
January 2020,9478.24,1530.31,+19.25%,15257
December 2019,7947.93,1944.73,+32.39%,14680
November 2019,6003.21,677.02,+12.71%,11549
October 2019,5326.19,-973.98,-15.46%,9830
September 2019,6300.17,-24.4,-0.39%,12530
August 2019,6324.57,-1806.25,-22.21%,9935
July 2019,8130.82,113.21,+1.41%,13564
June 2019,8017.61,616.3,+8.33%,15226
May 2019,7401.31,792.12,+11.99%,15455
April 2019,6609.19,-1554.52,-19.04%,12366
March 2019,8163.72,-1609.58,-16.47%,15080
February 2019,9773.3,-1230.71,-11.18%,16565
January 2019,11004,2589.64,+30.78%,18626
December 2018,8414.36,379.84,+4.73%,16580
November 2018,8034.52,2814.48,+53.92%,15459
October 2018,5220.04,238.51,+4.79%,10144
September 2018,4981.52,-1911.32,-27.73%,8855
August 2018,6892.85,-5083.92,-42.45%,13409
July 2018,11976.77,2709.24,+29.23%,20843
June 2018,9267.53,2079.26,+28.93%,19583
May 2018,7188.27,-765.34,-9.62%,11945
April 2018,7953.61,-2455.16,-23.59%,13018
March 2018,10408.77,-2548.78,-19.67%,18911
February 2018,12957.56,-788.1,-5.73%,20810
January 2018,13745.66,4947.14,+56.23%,23569
December 2017,8798.51,3670.23,+71.57%,21255
November 2017,5128.28,-724.78,-12.38%,11223
October 2017,5853.07,-803.52,-12.07%,11464
September 2017,6656.59,108.02,+1.65%,13577
August 2017,6548.57,-2942.72,-31.00%,10918
July 2017,9491.29,1599.76,+20.27%,15962
June 2017,7891.53,-2790.31,-26.12%,14443
May 2017,10681.84,-7692.51,-41.87%,18489
April 2017,18374.35,9009.68,+96.21%,34974
March 2017,9364.67,2389.39,+34.26%,41728
February 2017,6975.28,-1985.45,-22.16%,11060
January 2017,8960.74,3082.07,+52.43%,14531
December 2016,5878.67,-1409.2,-19.34%,12057
November 2016,7287.87,-1960.48,-21.20%,14769
October 2016,9248.35,3318.12,+55.95%,32421
September 2016,5930.23,185.88,+3.24%,9644
August 2016,5744.35,-1170.82,-16.93%,11349
July 2016,6915.17,-2956.7,-29.95%,12211
June 2016,9871.87,-18512.03,-65.22%,18641
May 2016,28383.9,-45882.75,-61.78%,78374
April 2016,74266.65,-,-,129831
