Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,136817.1,10730.4,8.51%,260562
April 2020,126086.73,9700.36,8.33%,243284
March 2020,116386.37,-26338.11,-18.45%,209493
February 2020,142724.48,31424.28,28.23%,267360
January 2020,111300.2,13522.51,13.83%,214796
December 2019,97777.69,28934.76,42.03%,204137
November 2019,68842.93,10186.85,17.37%,138540
October 2019,58656.08,-7475.54,-11.30%,117002
September 2019,66131.62,-31516.38,-32.28%,135072
August 2019,97648,5030.39,5.43%,176207
July 2019,92617.62,35899.89,63.30%,197555
June 2019,56717.73,1307.21,2.36%,109164
May 2019,55410.52,6908.24,14.24%,108557
April 2019,48502.28,-11727.38,-19.47%,91586
March 2019,60229.66,2105.44,3.62%,126518
February 2019,58124.22,-1726.98,-2.89%,119439
January 2019,59851.2,4209.87,7.57%,118210
December 2018,55641.33,12631.96,29.37%,120693
November 2018,43009.38,-256.59,-0.59%,81360
October 2018,43265.97,-5881.7,-11.97%,81337
September 2018,49147.67,-19164.49,-28.05%,97920
August 2018,68312.15,-12083.19,-15.03%,123556
July 2018,80395.34,31467.85,64.32%,162021
June 2018,48927.49,7648.77,18.53%,118332
May 2018,41278.73,-1500.8,-3.51%,82956
April 2018,42779.52,-3248.66,-7.06%,89792
March 2018,46028.18,-7367.5,-13.80%,94489
February 2018,53395.68,-24171.16,-31.16%,94308
January 2018,77566.84,-500.1,-0.64%,167754
December 2017,78066.93,36151.78,86.25%,170316
November 2017,41915.16,2140.69,5.38%,85105
October 2017,39774.46,-6068.46,-13.24%,84553
September 2017,45842.92,-8185.73,-15.15%,101433
August 2017,54028.65,-6811.41,-11.20%,121830
July 2017,60840.07,554.67,0.92%,112074
June 2017,60285.4,17405.76,40.59%,131936
May 2017,42879.64,-6228.7,-12.68%,83483
April 2017,49108.33,491.44,1.01%,96503
March 2017,48616.89,-4654.1,-8.74%,98798
February 2017,53270.99,-9907.68,-15.68%,104902
January 2017,63178.67,1334.95,2.16%,116125
December 2016,61843.72,18852.42,43.85%,126681
November 2016,42991.3,906.81,2.15%,86759
October 2016,42084.49,10440.55,32.99%,86192
September 2016,31643.93,-7147.94,-18.43%,61921
August 2016,38791.87,-6374.25,-14.11%,63873
July 2016,45166.12,5013.29,12.49%,71778
June 2016,40152.83,14922.64,59.15%,78330
May 2016,25230.19,-6441.1,-20.34%,48053
April 2016,31671.3,-2329.14,-6.85%,65878
March 2016,34000.43,-6012.67,-15.03%,64633
February 2016,40013.1,-6980.23,-14.85%,72735
January 2016,46993.33,3118.61,7.11%,93726
December 2015,43874.72,9408.88,27.30%,84558
November 2015,34465.84,3541.09,11.45%,77141
October 2015,30924.76,5536.95,21.81%,73902
September 2015,25387.81,-5530.26,-17.89%,46917
August 2015,30918.06,-6739.01,-17.90%,50693
July 2015,37657.07,-9296.17,-19.80%,60908
June 2015,46953.24,-46408.38,-49.71%,85195
May 2015,93361.62,-99352.39,-51.55%,215966
April 2015,192714.01,-,-,360761
