Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,2233.39,-369.4,-14.19%,4073
April 2020,2602.76,-567.11,-17.89%,7959
March 2020,3169.86,-901.85,-22.15%,6172
February 2020,4071.72,433.74,+11.92%,7869
January 2020,3637.97,31.51,+0.87%,7012
December 2019,3606.46,-455.32,-11.21%,7619
November 2019,4061.78,-213.94,-5.00%,8539
October 2019,4275.72,-2133.02,-33.28%,9210
September 2019,6408.74,-3588.22,-35.89%,15134
August 2019,9996.95,-4472.97,-30.91%,20420
July 2019,14469.92,1857.27,+14.73%,28638
June 2019,12612.65,1136.3,+9.90%,25367
May 2019,11476.35,760.6,+7.10%,22895
April 2019,10715.75,-796.09,-6.92%,20655
March 2019,11511.84,-1751.05,-13.20%,21970
February 2019,13262.89,2106.26,+18.88%,27193
January 2019,11156.63,-285.81,-2.50%,21023
December 2018,11442.44,256.56,+2.29%,21331
November 2018,11185.89,590.74,+5.58%,20837
October 2018,10595.15,-2900.92,-21.49%,19249
September 2018,13496.06,-,-,28864
