Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,3063.31,-741.4,-19.49%,5636
April 2020,3804.75,992.22,+35.28%,6296
March 2020,2812.53,587.92,+26.43%,6390
February 2020,2224.61,-894.73,-28.68%,3990
January 2020,3119.34,-893.03,-22.26%,8386
December 2019,4012.37,2145.07,+114.87%,9291
November 2019,1867.31,478.95,+34.50%,8251
October 2019,1388.36,-132.16,-8.69%,2642
September 2019,1520.52,-390.18,-20.42%,2792
August 2019,1910.7,-1861.45,-49.35%,3140
July 2019,3772.15,1275.5,+51.09%,8439
June 2019,2496.65,923.09,+58.66%,9345
May 2019,1573.56,-6.69,-0.42%,2896
April 2019,1580.25,-92.29,-5.52%,2938
March 2019,1672.54,-488.15,-22.59%,3023
February 2019,2160.69,-305.93,-12.40%,4940
January 2019,2466.62,-41.3,-1.65%,5808
December 2018,2507.92,734.87,+41.45%,6191
November 2018,1773.05,374.78,+26.80%,5466
October 2018,1398.27,-91.14,-6.12%,2696
September 2018,1489.41,-401.56,-21.24%,2786
August 2018,1890.97,-1349.29,-41.64%,3018
July 2018,3240.26,558.97,+20.85%,7657
June 2018,2681.3,1246.33,+86.85%,8318
May 2018,1434.97,-160.75,-10.07%,2533
April 2018,1595.72,-370.04,-18.82%,2966
March 2018,1965.76,-795.08,-28.80%,4030
February 2018,2760.84,-972.43,-26.05%,7238
January 2018,3733.27,-217.27,-5.50%,10383
December 2017,3950.54,1752.4,+79.72%,10902
November 2017,2198.14,801.93,+57.44%,9453
October 2017,1396.21,-181.01,-11.48%,2735
September 2017,1577.21,-526.82,-25.04%,3088
August 2017,2104.03,-2624.85,-55.51%,3583
July 2017,4728.89,1190.31,+33.64%,14151
June 2017,3538.57,2172.16,+158.97%,14984
May 2017,1366.42,-182.01,-11.75%,2488
April 2017,1548.43,-143.39,-8.48%,2910
March 2017,1691.82,-229.51,-11.95%,3471
February 2017,1921.33,-978.92,-33.75%,3594
January 2017,2900.25,388.56,+15.47%,8752
December 2016,2511.68,730.16,+40.98%,7769
November 2016,1781.53,-23.64,-1.31%,6283
October 2016,1805.17,482.91,+36.52%,5672
September 2016,1322.25,-258.44,-16.35%,3114
August 2016,1580.69,-1040.17,-39.69%,2537
July 2016,2620.86,636.07,+32.05%,7117
June 2016,1984.79,472.14,+31.21%,5813
May 2016,1512.65,-50.45,-3.23%,3061
April 2016,1563.1,-247.18,-13.65%,2926
March 2016,1810.27,-857.22,-32.14%,3669
February 2016,2667.49,-585.52,-18.00%,6264
January 2016,3253.01,-246.67,-7.05%,8814
December 2015,3499.68,1150.45,+48.97%,9013
November 2015,2349.24,1067.82,+83.33%,8799
October 2015,1281.42,-40.27,-3.05%,2544
September 2015,1321.68,-281.36,-17.55%,2600
August 2015,1603.04,-356.87,-18.21%,2662
July 2015,1959.92,-1062.12,-35.15%,3293
June 2015,3022.04,1626.3,+116.52%,8991
May 2015,1395.74,-47.98,-3.32%,2598
April 2015,1443.71,-254.72,-15.00%,2937
March 2015,1698.44,-835.47,-32.97%,3546
February 2015,2533.9,-64.69,-2.49%,6862
January 2015,2598.59,-177.98,-6.41%,7876
December 2014,2776.57,1349.8,+94.60%,9817
November 2014,1426.78,-356.77,-20.00%,3304
October 2014,1783.55,49.57,+2.86%,4800
September 2014,1733.97,-667.95,-27.81%,5116
August 2014,2401.92,-50.15,-2.05%,7810
July 2014,2452.07,450.89,+22.53%,7799
June 2014,2001.18,229.27,+12.94%,9424
May 2014,1771.91,-435.04,-19.71%,3988
April 2014,2206.96,1065.35,+93.32%,10123
March 2014,1141.61,-245.15,-17.68%,2250
February 2014,1386.76,-773,-35.79%,3048
January 2014,2159.76,-639.02,-22.83%,6200
December 2013,2798.78,922.83,+49.19%,8554
November 2013,1875.95,636.07,+51.30%,7109
October 2013,1239.88,-129.43,-9.45%,2434
September 2013,1369.31,-550.24,-28.67%,2735
August 2013,1919.55,-1199.59,-38.46%,3567
July 2013,3119.13,1300.85,+71.54%,9990
June 2013,1818.29,-325.19,-15.17%,3413
May 2013,2143.48,-598.14,-21.82%,4178
April 2013,2741.62,1232.53,+81.67%,13229
March 2013,1509.08,-252.2,-14.32%,3005
February 2013,1761.29,-978.81,-35.72%,3687
January 2013,2740.09,-263.36,-8.77%,6366
December 2012,3003.45,1208.13,+67.29%,7471
November 2012,1795.32,574.79,+47.09%,8555
October 2012,1220.53,-632.46,-34.13%,2573
September 2012,1853,-627.58,-25.30%,4131
August 2012,2480.58,-1687.09,-40.48%,5024
July 2012,4167.67,-,-,8857
