Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,81657.21,-26857.4,-24.75%,146359
April 2020,108514.57,-11363.31,-9.48%,194102
March 2020,119877.88,22210.54,+22.74%,198567
February 2020,97667.34,3481.55,+3.70%,178824
January 2020,94185.78,15957.06,+20.40%,157948
December 2019,78228.73,11729.45,+17.64%,138681
November 2019,66499.28,866.8,+1.32%,123848
October 2019,65632.48,-12290.28,-15.77%,125590
September 2019,77922.76,3966.48,+5.36%,148365
August 2019,73956.28,-3454.79,-4.46%,138827
July 2019,77411.07,-648.27,-0.83%,128458
June 2019,78059.34,18887.25,+31.92%,140274
May 2019,59172.09,-2179.37,-3.55%,115381
April 2019,61351.45,-8236.56,-11.84%,124989
March 2019,69588.02,-3409.64,-4.67%,134776
February 2019,72997.66,-6178.1,-7.80%,136018
January 2019,79175.76,8310.43,+11.73%,137434
December 2018,70865.32,12962.39,+22.39%,129558
November 2018,57902.93,-4525.71,-7.25%,115820
October 2018,62428.64,-11248.23,-15.27%,123794
September 2018,73676.87,-139.52,-0.19%,143866
August 2018,73816.38,5575.38,+8.17%,134159
July 2018,68241,1864.2,+2.81%,116054
June 2018,66376.81,3283.99,+5.21%,141630
May 2018,63092.81,-1170.62,-1.82%,142362
April 2018,64263.44,-18848.85,-22.68%,124813
March 2018,83112.29,14316.05,+20.81%,176208
February 2018,68796.24,5321.42,+8.38%,125133
January 2018,63474.82,4063.16,+6.84%,109103
December 2017,59411.66,17927.99,+43.22%,100433
November 2017,41483.67,9864.86,+31.20%,99110
October 2017,31618.81,-4830.06,-13.25%,59895
September 2017,36448.87,2525.69,+7.45%,69988
August 2017,33923.18,5544.54,+19.54%,73641
July 2017,28378.64,4294.92,+17.83%,47328
June 2017,24083.72,279.65,+1.17%,43057
May 2017,23804.07,-1171.88,-4.69%,43606
April 2017,24975.95,-1103.68,-4.23%,47040
March 2017,26079.63,-4488.63,-14.68%,47994
February 2017,30568.27,9861.56,+47.62%,65189
January 2017,20706.7,3529.83,+20.55%,34616
December 2016,17176.87,1821.38,+11.86%,30859
November 2016,15355.49,4763.56,+44.97%,42265
October 2016,10591.93,180.24,+1.73%,19467
September 2016,10411.69,-3559.54,-25.48%,18099
August 2016,13971.23,3116.99,+28.72%,32084
July 2016,10854.23,1851.49,+20.57%,39382
June 2016,9002.74,1933.04,+27.34%,15295
May 2016,7069.7,-573.86,-7.51%,14447
April 2016,7643.56,1518.1,+24.78%,29170
March 2016,6125.46,-3138.02,-33.88%,11234
February 2016,9263.47,-980.81,-9.57%,16044
January 2016,10244.29,2302.84,+29.00%,20006
December 2015,7941.45,-,-,18130
