Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,4743.06,-1481,-23.80%,6863
April 2020,6224.09,975.16,+18.58%,9390
March 2020,5248.93,1209.06,+29.93%,10426
February 2020,4039.87,-426.1,-9.54%,6054
January 2020,4465.97,254.65,+6.05%,7327
December 2019,4211.32,873.67,+26.18%,7037
November 2019,3337.64,-28.34,-0.84%,5826
October 2019,3365.99,-169.83,-4.80%,4968
September 2019,3535.82,-558.14,-13.63%,6502
August 2019,4093.96,-495.75,-10.80%,6480
July 2019,4589.71,765.9,+20.03%,7319
June 2019,3823.81,148.88,+4.05%,6757
May 2019,3674.93,-112.5,-2.97%,5409
April 2019,3787.43,-343.05,-8.31%,5543
March 2019,4130.48,-967.51,-18.98%,6485
February 2019,5097.99,-333.42,-6.14%,8621
January 2019,5431.41,667.04,+14.00%,9563
December 2018,4764.37,145.06,+3.14%,9509
November 2018,4619.32,469.41,+11.31%,7940
October 2018,4149.91,-401.28,-8.82%,6278
September 2018,4551.19,489.25,+12.04%,7066
August 2018,4061.94,376.64,+10.22%,6956
July 2018,3685.31,927.8,+33.65%,7328
June 2018,2757.51,-35.71,-1.28%,4595
May 2018,2793.22,286.75,+11.44%,5010
April 2018,2506.47,-392.41,-13.54%,4037
March 2018,2898.88,-562.09,-16.24%,4709
February 2018,3460.97,-298.02,-7.93%,6837
January 2018,3758.99,391.99,+11.64%,7615
December 2017,3366.99,301.97,+9.85%,7393
November 2017,3065.03,620.11,+25.36%,6228
October 2017,2444.92,24.65,+1.02%,5588
September 2017,2420.28,-320.53,-11.69%,3993
August 2017,2740.8,-871.44,-24.12%,4044
July 2017,3612.24,792.23,+28.09%,6992
June 2017,2820.02,592.84,+26.62%,5752
May 2017,2227.18,-104.67,-4.49%,3612
April 2017,2331.85,-318.76,-12.03%,3731
March 2017,2650.61,-423.24,-13.77%,4753
February 2017,3073.85,-374.66,-10.86%,6761
January 2017,3448.51,736.49,+27.16%,8149
December 2016,2712.02,635.18,+30.58%,7108
November 2016,2076.85,-17.86,-0.85%,4905
October 2016,2094.7,-326.01,-13.47%,4095
September 2016,2420.71,453.31,+23.04%,6557
August 2016,1967.4,-948.04,-32.52%,2864
July 2016,2915.44,632.57,+27.71%,6647
June 2016,2282.87,540.03,+30.99%,5198
May 2016,1742.84,4.83,+0.28%,2937
April 2016,1738.01,-13.94,-0.80%,2910
March 2016,1751.96,-130.16,-6.92%,3010
February 2016,1882.11,-531.98,-22.04%,3260
January 2016,2414.09,588.66,+32.25%,5123
December 2015,1825.43,561.77,+44.46%,4990
November 2015,1263.66,17.97,+1.44%,2443
October 2015,1245.69,-12.12,-0.96%,2210
September 2015,1257.81,-166.74,-11.70%,2343
August 2015,1424.55,-126.41,-8.15%,2288
July 2015,1550.96,0.83,+0.05%,2333
June 2015,1550.13,203.75,+15.13%,2593
May 2015,1346.38,-12.14,-0.89%,2215
April 2015,1358.52,88.5,+6.97%,2558
March 2015,1270.01,-57.36,-4.32%,2268
February 2015,1327.38,-112.33,-7.80%,2380
January 2015,1439.7,171.58,+13.53%,2506
December 2014,1268.12,24.38,+1.96%,2437
November 2014,1243.74,-110.86,-8.18%,2279
October 2014,1354.6,-548.01,-28.80%,2456
September 2014,1902.61,85.19,+4.69%,3961
August 2014,1817.42,-335.83,-15.60%,2834
July 2014,2153.25,61.51,+2.94%,3818
June 2014,2091.74,713.1,+51.73%,5062
May 2014,1378.63,66.35,+5.06%,2313
April 2014,1312.28,-330.37,-20.11%,2311
March 2014,1642.65,315.99,+23.82%,4672
February 2014,1326.66,-317.84,-19.33%,2594
January 2014,1644.51,201.55,+13.97%,3604
December 2013,1442.95,564.48,+64.26%,5014
November 2013,878.47,108.42,+14.08%,1789
October 2013,770.05,-135.27,-14.94%,1538
September 2013,905.31,-444.69,-32.94%,2036
August 2013,1350,-279.03,-17.13%,2248
July 2013,1629.03,659.02,+67.94%,3928
June 2013,970.01,108.25,+12.56%,1974
May 2013,861.76,-32.56,-3.64%,1545
April 2013,894.33,-284.23,-24.12%,1735
March 2013,1178.56,-413.97,-25.99%,2354
February 2013,1592.52,-1376.78,-46.37%,3833
January 2013,2969.31,1336.05,+81.80%,6545
December 2012,1633.25,936.27,+134.33%,7478
November 2012,696.98,274.42,+64.94%,1897
October 2012,422.56,-91.45,-17.79%,838
September 2012,514.01,-306.53,-37.36%,1056
August 2012,820.53,-376.37,-31.45%,1369
July 2012,1196.9,-,-,2006
