Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,929.24,-139.3,-13.04%,1213
April 2020,1068.53,89.34,+9.12%,1562
March 2020,979.18,107.98,+12.39%,1422
February 2020,871.21,-90.36,-9.40%,1303
January 2020,961.57,-28.36,-2.86%,1754
December 2019,989.93,256.59,+34.99%,1775
November 2019,733.33,23.98,+3.38%,1560
October 2019,709.36,1.08,+0.15%,1264
September 2019,708.28,81.68,+13.03%,1345
August 2019,626.6,-233.89,-27.18%,919
July 2019,860.49,77.63,+9.92%,1475
June 2019,782.86,155.6,+24.81%,1594
May 2019,627.26,-24.65,-3.78%,1143
April 2019,651.9,-152.53,-18.96%,1196
March 2019,804.44,-131.34,-14.04%,1533
February 2019,935.78,-169.72,-15.35%,1809
January 2019,1105.5,-260.61,-19.08%,2412
December 2018,1366.11,-270.77,-16.54%,2645
November 2018,1636.88,816.39,+99.50%,3055
October 2018,820.5,-50.73,-5.82%,1441
September 2018,871.23,84.18,+10.70%,1793
August 2018,787.06,-176.54,-18.32%,1135
July 2018,963.6,71.46,+8.01%,1496
June 2018,892.14,154.02,+20.87%,1708
May 2018,738.12,-105.77,-12.53%,1262
April 2018,843.89,-151.16,-15.19%,1429
March 2018,995.06,-79.79,-7.42%,1653
February 2018,1074.84,-220.35,-17.01%,1963
January 2018,1295.19,121.24,+10.33%,2689
December 2017,1173.95,75.82,+6.90%,2255
November 2017,1098.12,93.26,+9.28%,2071
October 2017,1004.87,-40.76,-3.90%,2234
September 2017,1045.63,-150.75,-12.60%,1935
August 2017,1196.38,-25.97,-2.12%,2082
July 2017,1222.35,-19.77,-1.59%,1777
June 2017,1242.12,85.27,+7.37%,1908
May 2017,1156.85,-109.61,-8.65%,2270
April 2017,1266.45,-204.85,-13.92%,2344
March 2017,1471.3,-401.25,-21.43%,2996
February 2017,1872.55,-306.93,-14.08%,3585
January 2017,2179.48,449.3,+25.97%,4391
December 2016,1730.18,270.3,+18.51%,4635
November 2016,1459.88,53.56,+3.81%,3536
October 2016,1406.32,-148.63,-9.56%,2758
September 2016,1554.96,-302.61,-16.29%,3008
August 2016,1857.56,-970.55,-34.32%,2932
July 2016,2828.11,322.38,+12.87%,5023
June 2016,2505.73,24.22,+0.98%,4746
May 2016,2481.51,-243.5,-8.94%,4531
April 2016,2725.01,-537.64,-16.48%,5268
March 2016,3262.65,-1375.32,-29.65%,6106
February 2016,4637.97,-335.53,-6.75%,8996
January 2016,4973.5,1001.8,+25.22%,10263
December 2015,3971.7,475.96,+13.62%,10462
November 2015,3495.74,779.62,+28.70%,7483
October 2015,2716.12,1960.3,+259.36%,6149
September 2015,755.82,-,-,2358
